package,version,status
glue,1.4.2,archive
mime,0.11,archive
jsonlite,1.7.2,archive
xtable,1.8-4,current
digest,0.6.27,archive
R6,2.5.0,archive
sourcetools,0.1.7,archive
crayon,1.4.1,archive
rlang,0.4.11,archive
fastmap,1.1.0,archive
withr,2.4.2,archive
commonmark,1.7,archive
base64enc,0.1-3,current
Rcpp,1.0.6,archive
magrittr,2.0.1,archive
fs,1.2.7,archive
rappdirs,0.3.3,current
evaluate,0.13,archive
yaml,2.1.19,archive
xfun,0.15,archive
tinytex,0.11,archive
stringi,1.6.2,archive
rprojroot,2.0.2,archive
rstudioapi,0.13,archive
ps,1.6.0,archive
fansi,0.5.0,archive
pkgconfig,2.0.3,current
utf8,1.2.1,archive
curl,4.3.2,archive
sys,3.4,archive
png,0.1-7,archive
xml2,1.3.2,archive
brio,1.1.2,archive
praise,1.0.0,current
git2r,0.26.0,archive
whisker,0.4,archive
clipr,0.7.0,archive
cli,2.4.0,archive
diffobj,0.3.4,archive
ellipsis,0.3.2,current
lifecycle,1.0.0,archive
cachem,1.0.5,archive
htmltools,0.5.1.1,archive
later,1.2.0,archive
hunspell,3.0.1,archive
highr,0.9,archive
markdown,1.1,archive
tinytex,0.32,archive
stringr,1.4.0,archive
desc,1.3.0,archive
getPass,0.2-2,archive
processx,3.5.2,archive
askpass,1.1,archive
sessioninfo,1.1.1,archive
vctrs,0.3.8,archive
sass,0.4.0,archive
jquerylib,0.1.4,current
promises,1.2.0.1,archive
rappdirs,0.3.1,archive
reticulate,1.15,archive
knitr,1.29,archive
pkgload,1.2.1,archive
ps,1.2.0,archive
processx,3.5.0,archive
callr,3.7.0,archive
openssl,1.4.4,archive
pillar,1.6.1,archive
bslib,0.2.5.1,archive
httpuv,1.6.1,archive
rmarkdown,1.18,archive
spelling,2.2,archive
httr,1.4.2,archive
tibble,3.1.2,archive
shiny,1.6.0,archive
rematch2,2.1.2,current
miniUI,0.1.1.1,archive
waldo,0.2.5,archive
testthat,3.0.4,archive
